Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF,10V","C_0402",30.190000,40.520000,0.000000,bottom
"C2","0.1uF,16V","C_0402",39.230000,30.095000,-90.000000,bottom
"C4","10uF,10V","C_0402",36.350000,37.930000,180.000000,bottom
"C5","10uF,10V","C_0402",65.690000,15.685000,90.000000,bottom
"C6","0.1uF,16V","C_0402",33.240000,45.155000,90.000000,bottom
"C7","0.1uF,16V","C_0402",31.610000,14.198000,90.000000,bottom
"C8","0.1uF,16V","C_0402",37.875000,25.400000,0.000000,bottom
"C9","0.1uF,16V","C_0402",34.325000,38.725000,0.000000,bottom
"C10","0.1uF,16V","C_0402",27.900000,36.060000,180.000000,bottom
"C11","0.1uF,16V","C_0402",36.350000,38.750000,180.000000,bottom
"C12","10uF,10V","C_0402",34.305000,37.025000,0.000000,bottom
"C13","0.1uF,16V","C_0402",36.350000,37.030000,180.000000,bottom
"C15","0.1uF,16V","C_0402",34.325000,37.875000,0.000000,bottom
"C16","0.1uF,16V","C_0402",27.950000,37.060000,180.000000,bottom
"C17","0.1uF,16V","C_0402",41.030000,28.425000,180.000000,bottom
"C18","0.1uF,16V","C_0402",35.320000,45.185000,90.000000,bottom
"C19","0.1uF,16V","C_0402",39.180000,39.870000,180.000000,bottom
"C20","0.1uF,16V","C_0402",32.355000,45.170000,90.000000,bottom
"C22","0.1uF,16V","C_0402",38.640000,38.250000,180.000000,bottom
"C23","0.1uF,16V","C_0402",52.550000,31.975000,90.000000,bottom
"C24","0.1uF,16V","C_0402",38.230000,45.185000,90.000000,bottom
"C25","0.1uF,16V","C_0402",38.270000,35.587000,-90.000000,bottom
"C26","0.1uF,16V","C_0402",42.240000,42.890000,90.000000,bottom
"C27","0.1uF,16V","C_0402",39.520000,33.665000,180.000000,bottom
"C28","0.1uF,16V","C_0402",45.060000,46.385000,180.000000,bottom
"C29","22uF,10V","C_0603",27.550000,27.513000,-90.000000,bottom
"C30","0.1uF,16V","C_0402",28.030000,29.330000,180.000000,bottom
"C31","0.1uF,16V","C_0402",30.190000,27.690000,-90.000000,bottom
"C32","22uF,6.3V","C_0603",20.190000,31.490000,90.000000,bottom
"C33","4.7uF,10V","C_0402",32.690000,41.545000,0.000000,bottom
"C34","0.1uF,16V","C_0402",32.455000,39.845000,180.000000,bottom
"C35","10nF,16V","C_0402",29.980000,29.345000,0.000000,bottom
"C36","0.1uF,16V","C_0402",19.090000,29.082000,-90.000000,bottom
"C37","0.1uF,16V","C_0402",37.980000,30.120000,-90.000000,bottom
"C38","4.7uF,10V","C_0402",37.480000,34.220000,180.000000,bottom
"C39","10uF,10V","C_0402",34.980000,30.095000,-90.000000,bottom
"C40","10uF,10V","C_0402",33.180000,30.115000,-90.000000,bottom
"C41","10uF,10V","C_0402",34.305000,39.555000,0.000000,bottom
"C42","10uF,10V","C_0402",36.405000,39.560000,180.000000,bottom
"C43","10uF,10V","C_0402",36.370000,36.160000,180.000000,bottom
"C44","10uF,10V","C_0402",34.355000,36.205000,0.000000,bottom
"C45","4.7uF,10V","C_0402",28.010000,34.855000,180.000000,bottom
"C46","0.1uF,16V","C_0402",35.790000,30.100000,-90.000000,bottom
"C47","0.1uF,16V","C_0402",34.030000,30.115000,-90.000000,bottom
"C48","0.1uF,16V","C_0402",29.070000,33.715000,180.000000,bottom
"C49","10pF,50V","C_0402",27.610000,43.745000,0.000000,bottom
"C50","10pF,50V","C_0402",25.850000,48.775000,0.000000,bottom
"C52","15pF,50V","C_0402",33.390000,25.400000,180.000000,bottom
"C53","15pF,50V","C_0402",35.795000,25.400000,180.000000,bottom
"C54","10uF,10V","C_0402",67.028400,15.688800,90.000000,bottom
"C55","0.1uF,16V","C_0402",64.469900,15.680703,90.000000,bottom
"C56","0.1uF,16V","C_0402",74.455000,53.970000,-90.000000,bottom
"C57","1nF,50V","C_0402",59.027900,12.180703,180.000000,bottom
"C62","22pF,50V","C_0402",65.590000,12.802703,90.000000,bottom
"C64","0.1uF,16V","C_0402",54.990000,14.485000,90.000000,bottom
"C65","22uF,6.3V","C_0603",55.778000,16.535000,180.000000,bottom
